"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Option Name 4","Option Value 4","Option Name 5","Option Value 5","Option Name 6","Option Value 6","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"63c7d46bf8e3360c1c2edaec","c973be74-1b27-4bc3-a167-3a51fe9594e9","PHYSICAL","props","eve0068-cpcfl-z2lfa","EVE0068 Gray Messenger Bag","<p>16 x 3 x 12</p>","SQ1813023","Color","Gray","Material","Fabric","Quantity","1","","","","","","","16.00","0.00","No","1","/everything-else/handprops/bagsbackpacks","Bag, Business, Professional","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040427654-QR3YWXDVCJ6MUFO95W6F/EVE0068-4078.jpg https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040427659-BWHJ20M875MBL7ED8FQY/EVE0068-4079.jpg https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040427665-TCYAUEJLOVNNALO36V7B/EVE0068-4083.jpg"
"63c7d489f8e3360c1c2f1391","d32f855f-337b-4e2d-bb36-b293fe4a6538","PHYSICAL","props","eve0069-temaz-5ftgr","EVE0069 Teal Backpack","<p>11 x 8 x 16</p>","SQ3784561","Color","Blue","Material","Fabric","Quantity","1","","","","","","","20.00","0.00","No","1","/everything-else/handprops/bagsbackpacks","Bag, Backpack, School","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040457143-LCQ32TQV10DROL390EIU/EVE0069-4086.jpg https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040457148-V01XHX98EK7RZMPRZW3Q/EVE0069-4088.jpg https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040457153-LH8J3U2WNR07C1CF09ZF/EVE0069-4090.jpg https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040457158-E5NV7J7ID8J2TN0ISSSM/EVE0069-4092.jpg https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040457164-81ZSUBE9XNSL7NM4FG8W/EVE0069-4096.jpg"
"63c7d479f8e3360c1c2ef538","c8ca8b61-758b-446b-852b-0963643f3932","PHYSICAL","props","eve0070-g3bpk-x2b87","EVE0070 Light Blue Backpack","<p class="""">Comes with cute charms for extra personality!</p><p class="""">12 x 10 x 15</p>","SQ7438644","Color","Blue","Material","Fabric","Quantity","1","","","","","","","15.00","0.00","No","1","/everything-else/handprops/bagsbackpacks","Back, Backpack, School, Kids, Cute","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040441591-8GU46LOKMFF44G8R3ROU/EVE0070-4098.jpg https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040441596-S3H3U8CQBUKP657G17LK/EVE0070-4099.jpg https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040441602-NG3VEYPJNHTZTC9GNI4U/EVE0070-4100.jpg https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040441607-11DHWYBIEN2QPAB4FEZT/EVE0070-4103.jpg https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040441612-1MWO5AYMPUIJKU3K8VN0/EVE0070-4105.jpg"
"63c7d488f8e3360c1c2f124f","7334588a-a688-41cc-bdf4-d6b4a3b0de62","PHYSICAL","props","eve0071-kx82j-gpj2p","EVE0071 Black Backpack","<p>10 x 7 x 14</p>","SQ6670402","Color","Black","Material","Fabric","Quantity","1","","","","","","","17.00","0.00","No","1","/everything-else/handprops/bagsbackpacks","Bag, Backpack, School","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040456588-4CUYSF5KRUXOZCBZ2U44/EVE0071-4118.jpg https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040456594-BSU5F8WZNWMJ1IEY9I5F/EVE0071-4116.jpg https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040456600-ZHRHXZZ0WQT1YA2UD0UD/EVE0071-4125.jpg https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040456605-SBY4M57Q6K1IO22YPW0P/EVE0071-4115.jpg"
"63c7d489f8e3360c1c2f14f2","96153917-fce1-48d9-afd4-e03cdf9539c1","PHYSICAL","props","eve0072-jgeaf-3r7zz","EVE0072 Gray Backpack","<p>10 x 5 x 15</p>","SQ8164713","Color","Gray","Material","Fabric","Quantity","1","","","","","","","15.00","0.00","No","1","/everything-else/handprops/bagsbackpacks","Bag, Backpack, School, Business","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040457863-BL94SJE0IZA8XHMUGUC6/EVE0072-4128.jpg https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040457868-C7N2JB902X5O0KYZPYZ3/EVE0072-4129.jpg https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040457873-7K2GN0D448JB2OPFBTV5/EVE0072-4133.jpg https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040457878-QD8BGQ25LQSD0K3LEHEO/EVE0072-4137.jpg"
"63c7d480f8e3360c1c2f02dd","a15a0c5c-b5d1-47b1-b1bd-0ff78111eb93","PHYSICAL","props","eve0073-z2pan-hhtrb","EVE0073 Blue Backpack","<p>13 x 8 x 17</p>","SQ3251622","Color","Blue","Material","Fabric","Quantity","1","","","","","","","15.00","0.00","No","1","/everything-else/handprops/bagsbackpacks","Bag, Backpack, School","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040448647-69W82CPGBNNZ28B4CIUH/EVE0073-4141.jpg https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040448652-Q1KS9IDVMWK19P7215ZG/EVE0073-4143.jpg https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040448656-G2ML4JZ962Q3CWL01NUA/EVE0073-4145.jpg https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040448662-SJYAOND86REM5Q7AV8DW/EVE0073-4147.jpg"
"63c7d484f8e3360c1c2f0af8","fb00cc8b-b527-4053-9f40-6421281ba7bc","PHYSICAL","props","eve0074-t327e-zaygn","EVE0074 Hydration Pack","<p>10 x 7 x 15</p>","SQ1374374","Color","Blue","Material","Fabric","Quantity","1","","","","","","","16.00","0.00","No","1","/everything-else/handprops/bagsbackpacks","Bag, Backpack, Outdoors, Sports","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040452939-TEM1SRNZHB0VKN7L5A5W/EVE0074-4148.jpg https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040452944-66YL84DHVR5S9C12SF40/EVE0074-4149.jpg https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040452950-0Y0X9QGKT2I3ILUIFZ73/EVE0074-4151.jpg"
"63c7d488f8e3360c1c2f1293","cbde0af0-1839-4f8b-8754-1dfc926c6c1d","PHYSICAL","props","eve0075-ryf76-96j64","EVE0075 Terracotta Backpack","<p>10 x 6 x 13</p>","SQ3087255","Color","Red","Material","Fabric","Quantity","1","","","","","","","20.00","0.00","No","1","/everything-else/handprops/bagsbackpacks","Bag, Backpack, School, Trendy","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040456720-347VNRQCI54EEPZD80Q7/EVE0075-4155.jpg https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040456728-W4GTKYF50M1I2SPG9VMV/EVE0075-4156.jpg https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040456732-C4DSJOUPDSNSY166C5IO/EVE0075-4159.jpg https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040456737-OTQEHCZ3POYP18VOGDRD/EVE0075-4153.jpg"
"63c7d472f8e3360c1c2ee8ab","c863efbb-9331-4e39-b970-ed93683a9bdd","PHYSICAL","props","eve0076-dj6xa-y29xx","EVE0076 Yellow Checkered Backpack","<p class="""">Comes with an adorable matching coin purse.</p><p class="""">11 x 7 x 17</p>","SQ2734843","Color","Yellow","Material","Fabric","Quantity","1","","","","","","","17.00","0.00","No","1","/everything-else/handprops/bagsbackpacks","Bag, Backpack, School, Cute","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040434990-OCDTCTC0HRHZ6CLXOWNP/EVE0076-4162.jpg https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040434994-8HM6FM135GLK98U81NJL/EVE0076-4161.jpg https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040434999-KK4KNZY23944Y478T6XR/EVE0076-4163.jpg https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040435006-TVV59FDNQP7H8398XB75/EVE0076-4166.jpg"
"63c7d47cf8e3360c1c2efa3f","8ceec4fa-4ab1-40fa-af78-9ef7dea271a4","PHYSICAL","props","eve0077-838m9-9dgwl","EVE0077 Yellow Backpack","<p>12 x 7 x 17</p>","SQ2665403","Color","Yellow","Material","Fabric","Quantity","1","","","","","","","20.00","0.00","No","1","/everything-else/handprops/bagsbackpacks","Bag, Backpack, School, Bright","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040444242-KKEB5RMYG7F2160S3YSU/EVE0077-4169.jpg https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040444247-0A03GJ65V3H08SOTUN5A/EVE0077-4172.jpg https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040444252-09OEWZSGDLMWZ8CW0TGU/EVE0077-4173.jpg https://images.squarespace-cdn.com/content/v1/63c7d45cf8e3360c1c2ed4ed/1674040444258-QZH4YZJ8UV6Q5946ZTIH/EVE0077-4175.jpg"
